Number,Name,Address1,Address2,Province,City,Postal,Latitude,Longitude
151,Newmarket Plaza,17820 Yonge Street,Unit B1,Ontario,Newmarket,L3Y 8S8,44.0614858,-79.4835179
153,Kitchener,500 Fairway Road S,Unit 26 Fairway Centre,Ontario,Kitchener,N2C 1X3,43.4209965,-80.4469673
154,Chatham,827 St Clair Street,RR7,Ontario,Chatham,N7L 0E9,42.4331501,-82.2191921
156,Kingston,1041 Princess Street,null,Ontario,Kingston,K7L 1H3,44.244114,-76.5154659
157,Nepean,1840 Merivale Road,Nepean Crossroads Centre,Ontario,Ottawa,K2G 1E6,45.3352983,-75.7245595
158,Gloucester,1501 Innes Road,Unit B,Ontario,Ottawa,K1B 1C5,45.4158013,-75.6062175
159,Brockville,220B Crocker Crescent,null,Ontario,Brockville,K6V 7N5,44.6125631,-75.6896253
160,Cobourg,1125A Elgin Street  W,null,Ontario,Cobourg,K9A 5T9,43.9693199,-78.2035822
161,Midland,16825 Highway 12,null,Ontario,Midland,L4R 4K3,44.73064919999999,-79.8751705
162,Corner Brook,18 Murphy Square,Building H,Newfoundland,Corner Brook,A2H 1R4,48.9599454,-57.92426529999999
163,London North,1737 Richmond Street,Unit 7 Masonvilles Hyland Centre,Ontario,London,N5X 3Y2,43.02729919999999,-81.28509129999999
164,Guelph Stone Gate,492 Edinburgh Road S,Edinburgh Market Place  Building C,Ontario,Guelph,N1H 4Z1,43.52170719999999,-80.2352855
165,Ancaster,1015 Golf Links Road,Meadowlands Square Building C,Ontario,Ancaster,L9G 3K9,43.2282978,-79.94135589999999
166,Bells Corners,9 1821 Robertson Road,null,Ontario,Nepean,K2H 8X3,45.3291013,-75.81917949999999
167,Burlington 2,2080 Appleby Line,Unit E5 Millcroft Shoping Centre,Ontario,Burlington,L7L 6M6,43.3971775,-79.796899
168,Mississauga West,2501 Hyde Park Gate,Unit E Hyde Park Gate,Ontario,Oakville,L6H 6G6,43.515583,-79.6870962
169,London Argyle,1925 Dundas Street,Unit 104 Argyle Mall,Ontario,London,N5V 1P7,43.0030154,-81.17300329999999
170,Georgetown,280 Guelph Street,null,Ontario,Georgetown,L7G 4B1,43.6486711,-79.89833969999999
172,Belleville,214 Bell Blvd,null,Ontario,Belleville,K8P 5L8,44.1866091,-77.4080094
173,Oshawa/Townline,1397 Harmony Road N,null,Ontario,Oshawa,L1H 7K5,43.9412095,-78.8478064
175,Ottawa South Keys,2210 Bank Street,South Keys Shopping Centre,Ontario,Ottawa,K1V 1J5,45.3567835,-75.6551501
176,Ajax Durham Center,40 Kingston Road E,Durham Centre,Ontario,Ajax,L1Z 1E9,43.86512219999999,-79.02352330000001
177,Kingston,14 636 Gardiners Road,Riocan Centre,Ontario,Kingston,K7M 3X9,44.2442653,-76.5618183
178,Orleans,2055 10 Line Road,Unit 7 South Orleans Centre,Ontario,Orleans,K4A 4C5,45.4827658,-75.4978656
179,Cornwall,501 Tollgate Road West,Unit 1,Ontario,Cornwall,K6H 0B4,45.0409639,-74.76215169999999
180,Mississauga 2,3155 Argentia Road,Unit 7,Ontario,Mississauga,L5N 8E1,43.5950257,-79.78862509999999
181,Yellowknife,307 Old Airport Road,null,Northwest Territories,Yellowknife,X1A 3T3,62.4484001,-114.4107366
182,Huntsville  ON,111 Howland Drive,Unit 90,Ontario,Huntsville,P1H 2P4,45.3432397,-79.2284896
183,Sheppard/Leslie,1019 Sheppard Avenue E,null,Ontario,North York,M2K 1C2,43.7693621,-79.3715246
184,North Bay,850 McKeown Avenue,null,Ontario,North Bay,P1B 8M1,46.3314885,-79.47333300000001
185,Owen Sound 2,1605 16 Street E,RR 1,Ontario,Owen Sound,N4K 5N3,44.5740764,-80.9148702
